mix_id,cement,bfs,fa,water,binder,w_b,fa_b,bfs_b,temp,Su,E0,alpha,t0,R2
A1,533.16,133.29,0.0,266.58,666.4499999999999,0.4,0.0,0.2,5.0,67.02152509414611,41807.289531549155,0.0015806345286863799,0.6799101053980365,0.9807295188530096
A1,533.16,133.29,0.0,266.58,666.4499999999999,0.4,0.0,0.2,10.0,58.868226784363145,40405.0470756851,0.004537980577428222,1.2595878541552534,0.9979430349361663
A1,533.16,133.29,0.0,266.58,666.4499999999999,0.4,0.0,0.2,20.0,57.67812849562178,40426.292269879836,0.001895578634600429,0.5057689094516542,0.9644099464445322
A1,533.16,133.29,0.0,266.58,666.4499999999999,0.4,0.0,0.2,30.0,64.9997196374224,40637.21011270232,0.004933820653961802,0.33395656143107627,0.9975019441820494
A1,533.16,133.29,0.0,266.58,666.4499999999999,0.4,0.0,0.2,40.0,56.65727602933724,40894.14917611376,0.002261225596734806,0.2451883337734442,0.9620239784810082
A10,433.65,0.0,185.88,309.77,619.53,0.5000080706341904,0.3000338966635998,0.0,5.0,32.335672662353225,41334.86221545004,0.006625795064218216,1.60486136486339,0.9965593112707838
A10,433.65,0.0,185.88,309.77,619.53,0.5000080706341904,0.3000338966635998,0.0,10.0,43.88327355724894,42327.57547135211,0.0017241458216247093,0.8785858831176505,0.9980940921777225
A10,433.65,0.0,185.88,309.77,619.53,0.5000080706341904,0.3000338966635998,0.0,20.0,53.4895049195877,43056.17053851405,0.001985028329715907,0.203212866483088,0.9924276991037838
A10,433.65,0.0,185.88,309.77,619.53,0.5000080706341904,0.3000338966635998,0.0,30.0,52.67236391402616,43902.82901527399,0.002170471188245345,4.860326094483722e-15,0.955001170967883
A10,433.65,0.0,185.88,309.77,619.53,0.5000080706341904,0.3000338966635998,0.0,40.0,53.98720597288016,43901.72025555205,0.00749319148820761,0.0016705981289849552,0.9990935343891195
A11,470.45,117.61,0.0,352.84,588.06,0.6000068020270041,0.0,0.199996598986498,5.0,36.67539722197111,42264.93857949906,0.0041009450490698315,1.717153621927436,0.9998009668304153
A11,470.45,117.61,0.0,352.84,588.06,0.6000068020270041,0.0,0.199996598986498,10.0,39.07478850763428,42852.736940685296,0.005834434764021131,1.7866856013370425,0.9987506875699538
A11,470.45,117.61,0.0,352.84,588.06,0.6000068020270041,0.0,0.199996598986498,20.0,49.20259951257556,42973.982217025325,0.0023532770382845734,0.49842582775105054,0.9987850643255723
A11,470.45,117.61,0.0,352.84,588.06,0.6000068020270041,0.0,0.199996598986498,30.0,48.46100662995027,43245.414662640615,0.006315780833784894,0.17376756322316936,0.9992902662823833
A11,470.45,117.61,0.0,352.84,588.06,0.6000068020270041,0.0,0.199996598986498,40.0,47.53097359517384,43349.23931088841,0.002483199096623403,1.8616161748733304e-13,0.9935532468837881
A12,352.18,234.72,0.0,352.14,586.9,0.6,0.0,0.3999318452888056,5.0,29.232927440252503,44727.39342579731,0.006447321857148611,1.3444690980348253,0.9865678938985881
A12,352.18,234.72,0.0,352.14,586.9,0.6,0.0,0.3999318452888056,10.0,38.06007898190886,43488.50400034168,0.00397275535001498,2.03727065333479,1.0
A12,352.18,234.72,0.0,352.14,586.9,0.6,0.0,0.3999318452888056,20.0,53.02693175616092,44886.772558948185,0.0014328721579818077,0.4255833280341884,0.9965717357147514
A12,352.18,234.72,0.0,352.14,586.9,0.6,0.0,0.3999318452888056,30.0,46.44772173439932,44845.41715409758,0.017909218944693203,9.33732264590535e-13,0.9992647565439938
